U.S. Representative District 5,State Senator District 60,State Representative District 60B,Governor,Secretary of State,State Auditor,Attorney General,County Commissioner District 4
Cicely Davis,Kari Dziedzic,Mohamud Noor,Steve Patterson,Kim Crockett,Will Finn,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Jerry Gergich,Ryan Wilson,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Steve Patterson,Steve Simon,Ryan Wilson,Keith Ellison,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,James McCaskel,Steve Simon,Will Finn,Keith Ellison,Angela Conley
Waymond Wang,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Kim Crockett,Will Finn,Jim Schultz,Jobu Tupaki
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Scott Jensen,Steve Simon,Tim Davis,Jim Schultz,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Kim Crockett,Ryan Wilson,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Tim Walz,Steve Simon,Donna Meagle,April Ludgate,Angela Conley
Cicely Davis,Kari Dziedzic,Jobu Tupaki,James McCaskel,Steve Simon,Ryan Wilson,Keith Ellison,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Steve Simon,Will Finn,Keith Ellison,Angela Conley
Ilhan Omar,Kari Dziedzic,Evelyn Wang,Tim Walz,Kim Crockett,Will Finn,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Becky Sregor,Kim Crockett,Julie Blaha,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,James McCaskel,Kim Crockett,Tim Davis,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Steve Patterson,Steve Simon,Trevor Belmont,Keith Ellison,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Scott Jensen,Steve Simon,Ryan Wilson,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Hugh McTavish,Kim Crockett,Will Finn,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Evelyn Wang,Steve Simon,Julie Blaha,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Ann Perkins,Steve Simon,Will Finn,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Tim Walz,Steve Simon,Julie Blaha,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Tim Walz,Trevor Belmont,Ryan Wilson,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Steve Patterson,Steve Simon,Will Finn,Keith Ellison,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Tim Walz,Kim Crockett,Tim Davis,Jim Schultz,Leslie Knope
Cicely Davis,Kari Dziedzic,Mohamud Noor,James McCaskel,Steve Simon,Tim Davis,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Scott Jensen,Steve Simon,Julie Blaha,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Kim Crockett,Will Finn,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Kim Crockett,Tim Davis,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Hugh McTavish,Kim Crockett,Ryan Wilson,Jim Schultz,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Tim Walz,Steve Simon,Tim Davis,Keith Ellison,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Hugh McTavish,Kim Crockett,Ryan Wilson,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,James McCaskel,Kim Crockett,Will Finn,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Kim Crockett,Julie Blaha,Jim Schultz,Angela Conley
Ilhan Omar,Kari Dziedzic,Ben Wyatt,Hugh McTavish,Steve Simon,Will Finn,Jim Schultz,Angela Conley
Ilhan Omar,Kari Dziedzic,Mohamud Noor,Steve Patterson,Steve Simon,Julie Blaha,Keith Ellison,Angela Conley
Cicely Davis,Kari Dziedzic,Mohamud Noor,Gabrielle M. Prosser,Steve Simon,Julie Blaha,Jim Schultz,Angela Conley
